grievance_id,created_at,channel,citizen_text,category,location,latitude,longitude,department,severity,urgency,public_impact,vulnerability,recurrence,priority_score,priority,status,duplicate_cluster_id,related_complaint_count,semantic_similarity,sentiment,sla_hours,recommended_action,actual_resolution_hours,systemic_cluster
GRV-1001,2026-08-18T18:19:00,Social Media,Residents on our street are facing repeated water outages.,Water Supply,Madhapur,17.451876,78.388185,Water Supply Department,9,5,9,4,10,76,High,New,SYS-WATER-MADHAPUR,19,0.8,Negative,13,Initiate emergency tanker support,,Yes
GRV-1002,2026-08-02T09:13:00,Mobile App,Repeated complaints about the damaged road have not been resolved.,Roads,Kukatpally,17.486604,78.412992,GHMC Roads Department,6,10,8,6,8,75,High,In Progress,SYS-ROAD-KUKATPALLY,27,0.89,Concerned,71,Schedule pothole repair,,Yes
GRV-1003,2026-07-18T08:45:00,Web,A damaged electric pole is creating a safety concern. A child may be affected.,Electricity,Gachibowli,17.443343,78.351777,Electricity Distribution Department,6,5,7,9,7,66,Medium,New,SYS-POWER-GACHIBOWLI,8,0.9,Urgent,22,Dispatch line inspection team,,Yes
GRV-1004,2026-08-01T16:12:00,Walk-in,Our apartment has not received drinking water for 5 days.,Water Supply,Madhapur,17.447134,78.390789,Water Supply Department,6,9,6,7,10,74,High,New,SYS-WATER-MADHAPUR,33,0.94,Urgent,9,Dispatch field inspection team,,Yes
GRV-1005,2026-08-02T08:11:00,Web,Garbage has not been collected in Banjara Hills for 6 days. A hospital nearby may be affected.,Sanitation,Banjara Hills,17.415145,78.437591,Sanitation Department,7,5,6,9,8,68,Medium,In Progress,SYS-SANITATION-BANJARA,12,0.89,Urgent,29,Dispatch sanitation crew,,Yes
GRV-1006,2026-07-22T08:24:00,Walk-in,No water supply in our locality for 1 days.,Water Supply,Madhapur,17.446582,78.393073,Water Supply Department,6,6,8,5,10,68,Medium,Resolved,SYS-WATER-MADHAPUR,9,0.95,Urgent,6,Initiate emergency tanker support,3.9,Yes
GRV-1007,2026-08-04T16:32:00,Social Media,Overflowing garbage bins are causing a hygiene issue. A person with disability may be affected.,Sanitation,Banjara Hills,17.412241,78.432187,Sanitation Department,5,9,10,9,7,77,High,New,SYS-SANITATION-BANJARA,26,0.79,Concerned,45,Dispatch sanitation crew,,Yes
GRV-1008,2026-08-08T10:33:00,Call Center,Our street has repeated missed waste collection complaints. A child may be affected.,Sanitation,Banjara Hills,17.413509,78.433866,Sanitation Department,9,6,9,9,7,81,High,Resolved,SYS-SANITATION-BANJARA,26,0.86,Negative,32,Inspect waste accumulation point,11.4,Yes
GRV-1009,2026-07-30T05:56:00,Mobile App,A large pothole has formed near Kukatpally and is dangerous for vehicles. A elderly resident may be affected.,Roads,Kukatpally,17.484405,78.414146,GHMC Roads Department,9,9,5,9,7,79,High,Resolved,SYS-ROAD-KUKATPALLY,12,0.88,Urgent,16,Schedule pothole repair,10.1,Yes
GRV-1010,2026-08-16T00:35:00,Social Media,Power has been out in our area for 18 hours.,Electricity,Gachibowli,17.437785,78.347643,Electricity Distribution Department,9,7,10,2,8,76,High,Assigned,SYS-POWER-GACHIBOWLI,11,0.8,Concerned,6,Escalate outage to field engineer,,Yes
GRV-1011,2026-07-20T21:40:00,Walk-in,Our apartment has not received drinking water for 5 days.,Water Supply,Madhapur,17.448713,78.390921,Water Supply Department,5,5,10,5,9,66,Medium,New,SYS-WATER-MADHAPUR,32,0.78,Negative,14,Dispatch field inspection team,,Yes
GRV-1012,2026-08-18T07:55:00,Mobile App,Water pressure has been very low in Madhapur since 1 days. A local shops may be affected.,Water Supply,Madhapur,17.449635,78.390329,Water Supply Department,7,9,9,3,10,76,High,Resolved,SYS-WATER-MADHAPUR,19,0.79,Urgent,7,Initiate emergency tanker support,3.8,Yes
GRV-1013,2026-08-15T16:51:00,Web,Water pressure has been very low in Madhapur since 5 days.,Water Supply,Madhapur,17.44736,78.38781,Water Supply Department,6,8,5,3,9,62,Medium,Assigned,SYS-WATER-MADHAPUR,35,0.94,Frustrated,13,Initiate emergency tanker support,,Yes
GRV-1014,2026-07-18T07:49:00,Social Media,Our street has repeated missed waste collection complaints. A school nearby may be affected.,Sanitation,Banjara Hills,17.414797,78.438549,Sanitation Department,6,6,5,7,8,62,Medium,Assigned,SYS-SANITATION-BANJARA,35,0.85,Frustrated,29,Inspect waste accumulation point,,Yes
GRV-1015,2026-08-02T22:38:00,Social Media,Our apartment has not received drinking water for 1 days. A child may be affected.,Water Supply,Madhapur,17.445821,78.387855,Water Supply Department,7,5,5,9,10,70,High,New,SYS-WATER-MADHAPUR,18,0.93,Concerned,22,Initiate emergency tanker support,,Yes
GRV-1016,2026-07-29T10:39:00,Web,Residents on our street are facing repeated water outages.,Water Supply,Madhapur,17.450058,78.389903,Water Supply Department,10,10,10,3,9,88,Critical,Escalated,SYS-WATER-MADHAPUR,29,0.79,Frustrated,16,Inspect local pipeline/network,,Yes
GRV-1017,2026-08-13T05:47:00,Call Center,Our apartment has not received drinking water for 6 days. A hospital nearby may be affected.,Water Supply,Madhapur,17.447549,78.39417,Water Supply Department,7,9,6,9,8,76,High,In Progress,SYS-WATER-MADHAPUR,20,0.91,Frustrated,11,Inspect local pipeline/network,,Yes
GRV-1018,2026-08-04T12:50:00,Call Center,Our street has repeated missed waste collection complaints.,Sanitation,Banjara Hills,17.415724,78.435764,Sanitation Department,9,10,7,5,10,84,High,Escalated,SYS-SANITATION-BANJARA,24,0.92,Frustrated,22,Inspect waste accumulation point,,Yes
GRV-1019,2026-08-17T02:04:00,Social Media,Our apartment has not received drinking water for 1 days. A person with disability may be affected.,Water Supply,Madhapur,17.445855,78.393071,Water Supply Department,6,6,5,9,7,64,Medium,Assigned,SYS-WATER-MADHAPUR,27,0.98,Urgent,20,Initiate emergency tanker support,,Yes
GRV-1020,2026-07-20T12:29:00,Social Media,Water pressure has been very low in Madhapur since 4 days.,Water Supply,Madhapur,17.449064,78.3951,Water Supply Department,5,5,8,3,8,58,Medium,Resolved,SYS-WATER-MADHAPUR,15,0.79,Frustrated,10,Initiate emergency tanker support,10.7,Yes
GRV-1021,2026-08-11T12:17:00,Mobile App,There is an open road crack/pothole near a school in Kukatpally.,Roads,Kukatpally,17.483097,78.41042,GHMC Roads Department,9,8,6,7,10,80,High,Resolved,SYS-ROAD-KUKATPALLY,15,0.83,Frustrated,61,Schedule pothole repair,45.4,Yes
GRV-1022,2026-07-24T11:04:00,Social Media,Our apartment has not received drinking water for 2 days. A school nearby may be affected.,Water Supply,Madhapur,17.448027,78.387998,Water Supply Department,9,5,6,3,8,66,Medium,Assigned,SYS-WATER-MADHAPUR,30,0.92,Frustrated,19,Initiate emergency tanker support,,Yes
GRV-1023,2026-08-07T15:51:00,Call Center,Repeated complaints about the damaged road have not been resolved. A hospital nearby may be affected.,Roads,Kukatpally,17.484387,78.410032,GHMC Roads Department,5,7,7,9,10,72,High,Resolved,SYS-ROAD-KUKATPALLY,31,0.89,Frustrated,50,Schedule pothole repair,37.6,Yes
GRV-1024,2026-07-21T02:55:00,Call Center,Water pressure has been very low in Madhapur since 6 days.,Water Supply,Madhapur,17.447333,78.389193,Water Supply Department,6,9,9,2,10,72,High,New,SYS-WATER-MADHAPUR,21,0.8,Negative,20,Inspect local pipeline/network,,Yes
GRV-1025,2026-07-24T21:41:00,Web,Our apartment has not received drinking water for 3 days.,Water Supply,Madhapur,17.451897,78.389095,Water Supply Department,8,7,5,5,7,66,Medium,Resolved,SYS-WATER-MADHAPUR,19,0.98,Negative,8,Dispatch field inspection team,8.5,Yes
GRV-1026,2026-07-31T01:10:00,Call Center,Water pressure has been very low in Madhapur since 5 days. A child may be affected.,Water Supply,Madhapur,17.445165,78.387705,Water Supply Department,10,5,9,9,8,84,High,Resolved,SYS-WATER-MADHAPUR,32,0.92,Frustrated,9,Inspect local pipeline/network,3.9,Yes
GRV-1027,2026-08-13T12:38:00,Social Media,There is an open road crack/pothole near a school in Kukatpally.,Roads,Kukatpally,17.487161,78.412578,GHMC Roads Department,6,5,9,7,8,68,Medium,New,SYS-ROAD-KUKATPALLY,17,0.92,Negative,63,Escalate to local engineering officer,,Yes
GRV-1028,2026-08-11T10:57:00,Walk-in,Garbage has not been collected in Banjara Hills for 6 days. A residential community may be affected.,Sanitation,Banjara Hills,17.413009,78.434874,Sanitation Department,7,5,8,8,10,74,High,Escalated,SYS-SANITATION-BANJARA,19,0.87,Negative,41,Inspect waste accumulation point,,Yes
GRV-1029,2026-07-25T17:48:00,Walk-in,Water pipeline near Madhapur appears damaged and residents have no supply. A residential community may be affected.,Water Supply,Madhapur,17.446991,78.391454,Water Supply Department,10,9,7,4,8,80,High,In Progress,SYS-WATER-MADHAPUR,22,0.84,Negative,20,Inspect local pipeline/network,,Yes
